"","x","y","c","z"
"73",4236.00553303738,-373.704883227176,0,0
"74",4009.92892156863,-356.910947712418,4,0
"75",8916.87594464172,-364.500091049804,0,0
"76",3486.99762234991,-377.973003764613,0,0
"77",1196.07499021526,-356.881252446184,12,4
"78",11586.1468478908,-398.012777551596,8,1
"79",113.550083713411,-393.326655504878,5,0
"80",11266.3026763171,-366.439555630365,8,1
"81",9341.23563988095,-364.447544642857,0,0
"82",9724.85530067392,-398.210925349922,0,0
"83",2213.41495375128,-389.261767728674,1,4
"84",5937.64716957449,-416.559851052257,0,0
"85",563.179523752922,-414.423471611395,0,0
"86",4112.98599258685,-439.345315059047,0,0
"87",7674.85540375312,-427.938333953538,0,0
"88",12637.8662477558,-438.646156357108,8,1
"89",1467.21854131886,-445.309839315526,1,4
"90",8116.01451434879,-444.173896247241,0,0
"91",7820.84131018956,-448.117909797371,0,0
"92",12177.4416515293,-441.49629338701,7,1
"93",4900.31901316451,-473.971409908552,0,0
"94",6866.15373823581,-453.616414333314,1,0
"95",1275.97494437458,-453.599158363161,2,4
"96",10801.3149677679,-484.072958635509,2,1
"97",5641.3125413477,-482.438521878839,0,0
"98",9934.88572977532,-464.785314137702,0,0
"99",9067.2963953309,-483.484033527022,0,0
"100",8947.83505884917,-501.531168265039,0,0
"101",10643.3958699809,-519.342715105162,2,1
"102",2229.62260021884,-538.516562220233,1,4
"103",2784.77424734861,-542.445090660281,13,4
"104",1263.36970054387,-561.446169975755,12,4
"105",3535.08566867684,-542.838240510819,0,0
"106",3946.09892384106,-581.927921002838,0,0
"107",7586.72142552283,-567.037644046095,0,0
"108",7417.80083410977,-600.337060206753,0,0
"109",1362.96354728888,-590.443494145977,12,4
"110",8636.66756388416,-586.447393526405,2,0
"111",9373.89654363832,-620.592693335834,0,0
"112",9657.67508261049,-615.955493597687,0,0
"113",1841.65684008547,-632.935545767738,1,4
"114",5819.910818515,-603.355232794896,3,0
"115",10940.9702494706,-639.963844842725,8,1
"116",3404.89634551495,-635.107840531561,1,0
"117",12572.1491870356,-628.1883816087,5,1
"118",4779.01295474712,-632.020195208518,0,0
"119",11057.1092074005,-643.643438197394,8,1
"120",11168.432211101,-655.350015165302,0,1
"121",4292.12779614861,-637.855281073721,0,0
"122",10519.8342754368,-646.126734326824,8,1
"123",7097.45748148148,-676.36424691358,0,0
"124",1671.39032927915,-668.398754078908,1,4
"125",4545.62145748988,-676.213436234818,0,0
"126",5950.09874580463,-673.994258964847,0,0
"127",6704.93077040118,-686.233402647462,1,0
"128",1317.43401078911,-692.681344875172,12,4
"129",3561.40004600874,-685.563549574419,0,0
"130",11700.779482596,-680.25016137842,3,1
"131",3223.25250982104,-667.853513749454,2,0
"132",3731.80661169943,-680.937868781994,0,0
"133",3913.01141866748,-697.504307488403,12,0
"134",9213.22739018088,-708.377148634985,0,0
"135",12084.3977703076,-695.11280371048,3,1
"136",5614.94271018092,-711.557940167908,0,0
"137",12519.8195570217,-718.976060320452,8,1
"138",13014.974554226,-719.708319538381,3,6
