coord_x,coord_y,mclust
1311.449689,-537.3753542000001,6
1313.462248,-662.5587707000001,6
1313.94685,-558.8214227000001,6
1322.374985,-514.2932976,6
1332.033128,-608.9336255,6
1335.2797050000001,-568.8193114000001,6
1164.042882,-619.6946367,6
1166.360306,-553.8879066000001,6
1210.79161,-643.7136061000001,1
1227.800327,-605.1333795,13
1273.630675,-613.9655518,6
1297.5558199999998,-631.079335,6
1312.8226710000001,-594.2077793999999,6
1215.415641,-536.2848946,6
1232.9409369999998,-661.6245564,1
1241.310043,-576.9901615,6
1243.9133669999999,-644.2108022000001,5
1295.3881900000001,-485.1558858,6
1296.212493,-619.9516977999999,6
1332.0812210000001,-590.6360068,6
1189.100325,-648.2887211,6
1200.072364,-511.3979569,6
1225.920516,-648.1699857000001,1
1247.407276,-561.1831397999999,5
1269.09997,-484.0433315,6
1283.040809,-640.8793297999999,6
1295.468942,-592.8486518999999,6
1310.54229,-503.3547192,6
1149.4205949999998,-389.7557164,6
1152.062987,-297.006017,6
1168.302649,-421.46894419999995,6
1182.946674,-397.61807210000006,6
1186.534801,-440.0006131,6
1191.875859,-391.28481439999996,6
1196.06576,-389.18583789999997,6
1204.687224,-445.9746512,6
1206.907699,-376.3485399,6
1209.8337980000001,-408.4413743,6
1215.948852,-316.7441689,6
1226.104719,-332.1810591,6
1231.319286,-360.18408519999997,6
1232.863342,-424.8719506,6
1233.482541,-445.54290199999997,6
1243.374435,-419.73542699999996,6
1248.923193,-394.807828,6
1250.6722710000001,-281.3473705,6
1260.247069,-415.419013,6
1271.3337,-453.85372570000004,6
1273.094993,-286.67100580000005,6
1274.451217,-306.1428812,6
1283.290675,-374.6635827,6
1287.479593,-279.46738680000004,1
1289.163264,-441.4388097,6
1290.707969,-328.58694330000003,6
1294.587764,-314.42415819999997,6
1301.087759,-436.48679460000005,6
1304.6255529999999,-451.9533021000001,6
1307.310051,-422.3870924,6
1306.99136,-393.8497651,6
1307.324388,-290.7468235,6
1314.211717,-347.3157173,6
1321.413999,-465.8735976,6
1324.7159869999998,-413.843987,6
1325.297932,-323.2332869,9
1170.5474179999999,-306.0579969,6
1195.2833289999999,-345.3210484,6
1200.314245,-351.0552665,6
1219.9705789999998,-348.24302620000003,6
1221.567251,-355.13865689999994,6
1248.528474,-305.5203268,6
1317.959658,-317.8183231,9
1180.319703,-350.26070469999996,6
1211.6995869999998,-331.89615449999997,6
1257.933215,-346.3177975,6
1255.8809509999999,-339.75321710000003,9
1288.906016,-301.0502542,6
1314.15572,-337.9397332,9
1314.627487,-380.22901010000004,6
1201.152698,-304.946278,6
1239.534541,-387.5694336,1
1283.715381,-401.1070837,6
1164.989679,-404.3015763,6
1198.0190710000002,-363.5975211,6
1223.203183,-365.1263293,12
1239.833159,-394.4862195,6
1308.107934,-359.3183691,6
1157.3997949999998,-251.64372400000002,6
1160.2640199999998,-79.86952840000001,1
1174.413001,-112.4091136,12
1186.860913,-98.52889188,1
1188.0083849999999,-159.3301366,6
1194.818694,-209.2123341,6
1199.964893,-247.3886011,6
1203.818672,-153.7617253,1
1210.628416,-213.25408650000003,6
1214.331941,-175.8099219,6
1215.9141240000001,-248.8727097,6
1239.646142,-90.21881464,1
1241.079715,-265.7204882,6
1257.457448,-184.098098,6
1261.80446,-169.20329750000002,6
1267.648528,-239.5459869,1
1271.169817,-103.64920479999999,6
1273.808831,-126.4570051,6
1278.54355,-134.418247,6
1278.784745,-86.72368078,6
1281.704219,-154.7495989,6
1280.874246,-169.1953227,6
1287.702757,-218.1568176,6
1292.835849,-110.14419720000001,6
1292.265558,-169.43692080000002,6
1306.092639,-202.88319840000003,6
1302.119874,-227.0090755,6
1310.443913,-172.6172544,6
1318.129725,-111.5001665,6
1173.843388,-251.51243939999998,6
1202.008685,-148.1231678,1
1220.1342849999999,-100.635774,1
1318.811554,-205.04485019999998,6
1321.166289,-224.82581319999997,6
1154.586855,-156.3714108,2
1156.391726,-182.1293315,6
1177.755669,-192.1492755,6
1192.667788,-151.3190619,1
1222.672082,-117.693611,1
1242.289926,-218.91689879999998,6
1246.506903,-107.0333517,6
1261.3059269999999,-264.6013484,6
1275.238345,-255.4454642,6
1290.879381,-239.99163810000002,6
1164.078839,-267.9007088,6
1164.146467,-216.5662,6
1182.653894,-153.9595519,6
1307.530792,-149.3892091,6
1324.372718,-159.21689809999998,6
1148.841799,89.65628388,6
1156.269751,-60.01025469,2
1155.4570939999999,50.01753779,6
1155.610709,1.659176072,9
1163.2782949999998,-12.08663113,6
1169.542665,63.56570808,6
1173.090333,-56.86490272,6
1173.585382,41.95907206,6
1179.64551,24.45474052,6
1195.683987,103.42685870000001,6
1199.42634,73.98639132,6
1197.1162060000001,60.75223917,6
1199.396592,51.80664863,6
1201.518134,-36.86321272,6
1200.949576,-61.15904437,6
1203.2539880000002,10.87078093,6
1206.0122,114.14718490000001,12
1215.593369,33.95561078,6
1216.81515,91.2796397,6
1229.512868,1.4224261230000002,6
1231.539204,49.09482979,4
1259.416766,-14.58566319,6
1260.218585,-33.80815747,5
1262.738461,99.78662022,6
1262.1527740000001,77.75316749,6
1276.287321,-43.04968859,6
1275.6616789999998,86.85677831,6
1282.307554,109.3817189,6
1289.212465,-26.18109121,6
1284.563177,28.01933572,5
1289.4848849999998,-57.36181782,6
1296.898092,28.16319145,6
1297.346577,113.23952340000001,1
1302.1369359999999,17.46997324,6
1308.1361689999999,-26.3347627,6
1313.939301,37.45286577,6
1314.086065,95.30938226,11
1318.096332,49.62867902,6
1321.887242,59.99149235,11
1324.6539070000001,29.65430561,1
1161.794324,33.77292782,9
1194.51999,38.08212908,6
1198.071007,-14.53073847,6
1219.035538,69.0508005,6
1246.3535650000001,30.1545287,4
1246.275385,40.52277116,4
1316.362488,87.29468204,1
1300.456434,51.57368376,6
1174.130271,7.213270341,6
1180.452082,10.20361754,6
1181.368447,84.76629183,6
1212.607077,-16.01041606,6
1226.325278,16.72212931,11
1226.5959300000002,-11.87610904,6
1239.4467300000001,86.08266919,6
1239.931562,-27.80331986,6
1256.410286,3.9101325339999997,4
1295.09736,-36.99994109,6
1316.40777,-31.12528166,6
1157.974219,211.279481,6
1160.878065,175.18439730000003,6
1165.4775730000001,181.3166364,6
1177.632225,264.8028184,12
1176.101262,155.1302675,6
1185.439743,169.35002230000003,6
1195.931592,240.1265859,12
1195.0025449999998,292.0249526,1
1208.239726,157.86846880000002,12
1212.225034,255.38133849999997,12
1221.070644,301.68371260000004,1
1224.197831,224.83314109999998,12
1228.548957,154.66043630000001,12
1229.579779,185.3241185,4
1232.476234,208.8518301,4
1233.404538,303.8464548,1
1234.8218960000002,252.33692090000002,11
1248.622069,173.3592276,11
1248.9154429999999,269.00638430000004,5
1253.4023789999999,245.4689133,4
1262.173975,301.1357623,12
1269.710407,310.2649146,11
1272.669288,196.33079109999997,11
1276.5835650000001,290.1658461,12
1279.351746,154.79250009999998,11
1288.232077,207.27889119999998,4
1289.946635,256.8849498,14
1288.747865,267.3602011,11
1296.99754,232.69122190000002,14
1301.780334,169.9786351,11
1303.5243189999999,215.5986284,14
1303.936669,245.4184526,14
1304.889236,284.5801835,11
1305.861836,181.4341109,11
1311.465943,238.1881221,14
1319.175093,203.40227819999998,11
1319.986388,260.67702599999996,4
1320.463383,165.5066925,6
1329.313132,244.7963412,14
1331.510067,262.0421097,14
1337.806383,215.95087900000001,11
1177.993521,270.87767169999995,6
1197.6061619999998,207.06129840000003,6
1204.72432,186.59494850000002,6
1261.513624,231.07883030000002,14
1285.2684470000002,231.9564674,14
1160.1475369999998,285.55641030000004,6
1165.63067,234.74616459999996,12
1178.628898,310.86038060000004,6
1193.3514109999999,313.66857430000005,1
1218.410958,316.90651660000003,1
1249.570347,314.5082651,1
1284.095909,276.98372850000004,12
1304.495935,316.3267059,11
1187.31457,150.4906013,6
1182.695234,191.764385,6
1224.0697890000001,212.91971510000002,4
1235.462252,139.2281209,12
1269.756095,184.60933369999998,11
1302.107468,296.26249260000003,11
1326.076634,260.3139983,14
1330.498963,279.24996170000003,11
1296.517003,132.3402865,1
1156.322068,488.16966799999994,11
1155.27632,437.8020086,11
1162.525139,514.4438996,11
1167.92631,393.98876839999997,11
1169.990974,458.1100956,11
1174.219253,449.154005,11
1182.374454,426.00476849999995,11
1182.347631,403.3756534,11
1190.9693140000002,355.98661569999996,11
1188.325807,464.01794110000003,11
1192.576345,385.09421139999995,11
1199.079399,488.49866399999996,11
1203.6143470000002,452.7230203,1
1205.828766,504.54856219999994,11
1206.95189,419.0287371,11
1213.107249,463.19643049999996,11
1221.671375,428.21757419999994,11
1233.523767,434.4324863,11
1234.089633,467.6363518,11
1234.8570710000001,446.57113389999995,11
1247.09972,462.7379831,11
1245.174083,428.8903541,11
1246.1248480000002,440.1604495,11
1251.469842,391.96828910000005,11
1260.3665210000001,504.5993399,11
1263.7520789999999,443.8164688999999,11
1265.702857,352.03956980000004,11
1269.864173,360.7857075,11
1272.6992480000001,410.2742525,11
1277.726487,476.7375,11
1276.974067,459.4202739,11
1283.155092,520.8280582,11
1284.496191,506.5500791,11
1290.9235939999999,379.1741009,11
1294.0493609999999,484.04891200000003,11
1300.586787,506.10061210000003,11
1303.576067,377.47006899999997,11
1311.822402,364.0210547,11
1315.161602,502.71562400000005,11
1323.633575,451.30920369999996,11
1324.741836,359.9980373,11
1330.1384480000002,513.8459793000001,11
