coord_x,coord_y,pred
-3020.818697,3747.377863,2
-3017.362388,3692.870942,10
-3019.579891,3636.306482,2
-3017.380657,3700.658126,10
-3015.618315,3803.260338,2
-3012.907822,3652.475477,5
-3003.925261,3702.96211,9
-3003.959881,3658.919756,4
-2997.835089,3776.749203,2
-2995.0635,3659.252262,4
-2994.107724,3636.896864,0
-2982.293965,3801.599629,5
-2981.460522,3707.245007,5
-2975.387626,3724.490063,5
-2971.71703,3736.373824,0
-2957.803784,3783.763261,1
-2956.031492,3775.322121,2
-2952.543845,3680.039797,4
-2954.08651,3761.858226,0
-2942.573152,3693.19986,6
-2941.283159,3717.880191,5
-2924.320106,3734.206804,9
-2921.232651,3631.858571,1
-2919.326575,3728.357165,0
-2913.795332,3800.562161,0
-2909.649584,3791.267113,0
-2909.524406,3755.134083,3
-2906.182309,3651.975769,2
-2901.731239,3633.238113,0
-2895.80512,3708.918575,4
-2893.783563,3632.57759,0
-2890.973304,3768.354363,0
-2885.738418,3656.499904,3
-2864.678655,3647.152794,4
-2860.26603,3794.894621,9
-2852.149726,3620.936713,5
-2847.813849,3804.514555,3
-2998.677808,3680.668377,9
-2970.444289,3759.101101,2
-2962.886976,3789.219089,9
-2929.019032,3782.323564,1
-2906.421588,3745.2347,3
-2873.269441,3727.668191,4
-2867.465451,3732.946113,4
-2987.408398,3692.429839,1
-2966.479346,3696.190391,4
-2944.604081,3798.948549,9
-2944.827091,3738.139051,4
-2919.844901,3672.836715,4
-2876.979092,3641.318865,10
-2850.814092,3626.193626,5
-2850.813103,3806.51168,3
-2980.720269,3739.919126,11
-2889.205406,3758.963368,0
-2870.153308,3676.155387,6
-2859.890433,3621.977629,5
-3016.951076,3681.523015,4
-2959.645375,3658.25377,4
-2947.096655,3711.356376,5
-2926.07897,3766.209078,1
-2869.330844,3668.590455,6
-2865.023294,3772.357728,9
-3025.732277,3851.931896,0
-3019.833327,3869.226631,10
-3009.277568,3996.527,9
-3007.132576,3897.451682,9
-3005.473043,3906.043529,1
-2992.251031,3849.979918,9
-2990.722622,3886.885231,2
-2987.253505,3915.733659,0
-2986.096803,4002.011758,9
-2968.146755,3891.125517,1
-2965.992366,4004.76862,9
-2963.325218,3975.288257,0
-2956.981804,3955.224497,9
-2954.543265,3924.323612,1
-2946.200159,3950.864045,9
-2932.016877,3986.709491,4
-2922.98543,3923.325592,5
-2924.764343,3850.659291,9
-2921.716174,3828.224288,9
-2914.559087,3922.557977,10
-2916.769962,3882.783926,9
-2909.183945,3904.820657,1
-2907.406593,3949.510786,2
-2908.638578,3979.868829,9
-2904.906559,3862.313155,2
-2889.258942,3868.020462,2
-2886.256158,3875.019641,5
-2872.651875,3849.984157,2
-2868.865291,3940.72464,3
-2858.515815,3859.665588,0
-2851.702558,3996.590892,5
-2849.4454,3902.290671,0
-2849.062855,3886.646779,1
-2980.30224,3913.345025,2
-2969.623416,3967.167773,0
-2949.80623,4002.807658,1
-2945.170386,3890.002735,9
-2945.775108,3933.676386,9
-2857.780778,3929.522991,9
-2979.859064,3867.108201,9
-2973.617293,3953.254772,3
-2966.767588,3902.178035,4
-2939.892179,3841.332755,1
-2930.225811,3962.593893,4
-2858.585262,3883.919983,11
-3026.168443,3974.725075,9
-3027.026142,3984.395071,9
-2997.148342,3941.676495,2
-2995.419689,3832.512694,1
-2959.054804,3964.416958,9
-2916.809889,4006.019854,5
-2876.470373,3831.662506,0
-3033.813912,4136.290706,5
-3028.042789,4031.903564,9
-3023.926375,4193.730961,1
-3016.480588,4070.623181,7
-3014.166086,4202.983057,2
-3014.923616,4081.295655,4
-3015.818224,4175.446976,4
-3001.170178,4134.731934,4
-2996.947149,4040.874292,3
-2997.438171,4165.690005,0
-3000.413001,4063.344363,4
-2991.843342,4022.544097,2
-2988.961156,4124.935998,9
-2985.19862,4157.715946,0
-2986.893841,4114.693089,9
-2986.694977,4207.696178,0
-2981.186739,4046.505323,4
-2974.2812,4110.95678,2
-2973.867539,4160.518352,5
-2969.819458,4188.110305,2
-2966.561761,4063.709486,9
-2959.856452,4099.622987,0
-2957.011139,4139.426738,3
-2954.266446,4205.26201,2
-2950.293763,4047.865505,9
-2944.002464,4135.8088,2
-2946.563829,4062.236348,9
-2937.741729,4163.461748,1
-2939.841513,4185.242685,3
-2936.839016,4132.935772,0
-2937.452848,4057.720908,9
-2932.069661,4034.870125,4
-2917.349245,4166.20726,10
-2917.551257,4102.128757,5
-2913.55963,4183.872573,0
-2912.462694,4209.647193,2
-2903.262282,4180.93061,0
-2907.022453,4050.271518,1
-2900.161821,4141.189536,1
-2903.971484,4193.22333,0
-2898.531371,4081.05446,0
