x_array,y_array,mclust
1398.344267,2689.7433530000003,9
1403.666794,2610.385327,4
1417.9060470000002,2547.8197609999997,9
1419.903883,2674.250739,9
1425.692159,2648.3093350000004,4
1424.839027,2585.097484,9
1433.605446,2568.483126,9
1438.1477220000002,2618.156366,9
1440.8094609999998,2680.203122,4
1445.630089,2563.538985,9
1447.143245,2657.306579,4
1459.872392,2646.392145,5
1467.452004,2693.2842769999997,4
1467.900253,2550.463816,9
1469.2837960000002,2670.8660449999998,4
1476.140721,2661.1932039999997,4
1479.7882,2568.0691190000002,9
1483.56566,2599.504899,4
1492.079694,2551.7229780000002,4
1494.461,2678.646715,9
1403.840043,2599.158586,4
1424.665957,2638.522519,9
1430.280694,2540.1184,4
1449.490026,2674.324718,4
1456.993566,2583.0064420000003,9
1312.625274,2693.460543,6
1361.165489,2580.99888,4
1459.147455,2691.542584,4
1322.37608,2535.0049010000002,2
1372.244941,2608.829472,4
1457.136684,2519.2521100000004,9
1490.458958,2589.512331,4
1336.536304,2549.511286,9
1368.855871,2584.5644859999998,4
1369.861484,2518.16266,9
1373.699482,2537.805366,9
1375.225281,2632.892392,4
1453.379548,2632.154601,4
1334.697799,2529.8204739999996,2
1318.748267,2807.927136,6
1328.332607,2857.3015579999997,4
1331.4479529999999,2747.206775,6
1331.2443,2876.339994,9
1333.259473,2890.115495,9
1334.238888,2899.3019059999997,9
1338.836826,2771.257827,4
1344.680377,2831.7476030000003,9
1350.506071,2887.543823,9
1357.629701,2830.0345399999997,9
1359.013265,2820.084002,9
1356.321585,2761.0114329999997,9
1360.7873710000001,2769.895707,4
1357.533137,2787.248195,4
1358.522853,2719.055648,6
1362.757637,2729.164773,6
1367.543171,2802.602264,9
1372.4947439999999,2792.070227,9
1371.663882,2885.9988940000003,9
1387.3155470000002,2831.954794,9
1404.033995,2761.14151,4
1403.243473,2800.0519679999998,9
1417.037055,2897.373072,6
1420.463407,2809.139533,9
1424.224573,2830.442094,9
1425.994065,2857.213992,9
1428.511299,2740.271444,4
1431.8639380000002,2774.7798559999997,4
1448.730913,2768.46235,4
1446.6035279999999,2805.253325,4
1458.60786,2861.518099,9
1459.174956,2896.520782,6
1469.644481,2892.788358,6
1472.803934,2737.03655,4
1472.5801800000002,2778.371838,4
1471.44321,2717.098697,4
1481.7656769999999,2850.874026,6
1484.9023539999998,2830.310032,6
1486.367352,2881.841361,6
1491.80565,2893.572028,6
1495.7132880000001,2726.782784,4
1495.585156,2819.068925,7
1318.736116,2750.569394,6
1338.97325,2813.50932,9
1378.884443,2869.589992,6
1408.45768,2812.135487,9
1430.9140960000002,2878.05312,4
1452.160175,2839.9878329999997,9
1473.814569,2873.215721,6
1311.022271,2827.800252,6
1331.620831,2712.710353,6
1340.915519,2716.3757149999997,6
1386.356816,2824.979062,9
1392.6107060000002,2884.298989,6
1476.856783,2805.23105,9
1460.524432,2744.3701690000003,4
1380.24664,2808.621965,9
1387.258942,2725.425999,4
1405.8041449999998,2719.779378,9
1430.819618,2732.910254,6
1434.3544470000002,2894.714768,6
1439.90682,2862.248902,4
1445.90814,2781.21947,4
1318.0705970000001,3009.6485620000003,4
1318.716998,2969.0735,9
1320.340027,3035.383914,7
1325.438486,3038.3335039999997,7
1333.75269,3086.364387,7
1343.719035,2912.614545,9
1350.034027,3037.36069,7
1357.723959,2949.669416,9
1361.4464050000001,3051.9033600000002,7
1365.2074619999999,3017.334151,9
1377.418009,2971.615156,9
1379.427469,2934.140655,9
1381.894908,3027.415444,7
1387.6094859999998,3077.698054,7
1389.2290289999999,3065.170123,7
1400.8510800000001,2942.858463,1
1401.71811,2977.6141850000004,9
1403.984666,3092.518991,7
1413.388873,3070.743092,7
1416.190842,3052.162108,7
1417.2202869999999,3009.01784,1
1423.1795439999999,2998.819012,1
1433.309135,3002.845438,1
1439.1943880000001,3009.010568,1
1438.669134,3060.5680190000003,7
1439.4851119999998,2959.6393829999997,1
1437.2272699999999,3091.806709,10
1446.6105189999998,3001.265719,1
1449.82306,3086.677072,7
1453.268426,2975.5032690000003,1
1454.778001,2942.597641,4
1459.3365820000001,3006.898878,1
1457.321464,3050.0898469999997,9
1463.733712,2971.9024010000003,7
1464.671625,2918.3745010000002,6
1462.636894,3071.4668300000003,7
1464.494841,3055.174681,9
1468.519947,3024.286086,7
1471.3476460000002,3021.652787,7
1480.143869,2951.0530519999998,7
1479.4403,3050.051839,7
1485.5734400000001,3093.934686,7
1489.081208,2969.667531,4
1326.30177,2991.7733510000003,4
1341.030033,3027.657421,9
1386.407316,2984.680557,9
1478.419877,3004.9815510000003,7
1495.2881300000001,3031.9252,7
1342.035029,2981.870378,4
1341.419678,2946.381329,9
1363.605549,2965.926613,9
1482.03553,2936.63094,4
1322.87533,3046.820446,6
1358.3930970000001,3075.8436039999997,7
1415.168833,2972.314175,1
1446.8810230000001,3025.727287,1
1315.840037,2989.468373,9
1326.7387310000001,2925.436798,6
1345.284276,3047.468919,7
1361.967,3004.5673690000003,10
1407.806185,3067.822198,7
1447.703345,2928.612494,4
1397.1587470000002,3027.11149,7
1403.695839,3003.758699,7
1309.597336,3157.0773710000003,4
1319.558652,3158.10302,4
1326.099995,3210.8821120000002,9
1326.1593619999999,3177.04335,4
1329.3204230000001,3130.73488,4
1328.9130890000001,3223.90618,9
1325.5825619999998,3200.6313370000003,9
1342.248896,3232.422648,9
1344.810349,3242.729699,9
1347.797394,3156.6849399999996,4
1359.548199,3198.899616,4
1358.048039,3252.980948,9
1358.787967,3207.863076,4
1358.600111,3282.171039,9
1357.385557,3166.960311,4
1361.295777,3240.8570649999997,9
1363.047202,3276.4021940000002,9
1381.1267380000002,3266.582041,9
1380.5117539999999,3170.006175,4
1382.8980689999999,3192.9079420000003,4
1387.594334,3149.213021,10
1391.7563810000001,3294.935952,4
1397.093725,3202.567945,9
1397.833287,3120.204302,10
1404.543458,3156.198883,9
1409.316584,3222.8633870000003,10
1409.623733,3177.9989760000003,10
1419.2480269999999,3117.8810329999997,10
1428.638071,3114.309885,10
1429.31092,3192.158709,4
1436.404411,3270.650181,9
1439.370943,3219.4386640000002,10
1442.098194,3291.1217420000003,9
1444.54767,3134.473866,10
1449.104008,3220.282609,4
1449.683059,3270.74273,9
1453.678233,3235.50246,4
1456.573498,3268.8735100000004,10
1453.684698,3167.596975,4
1458.468782,3134.592419,4
1462.844416,3264.780588,10
1480.302428,3261.012073,10
1491.765675,3233.032812,4
1356.3138210000002,3267.723671,9
1371.023031,3297.826317,9
1418.0883,3254.631809,9
1449.379083,3288.524955,9
1467.958949,3158.7279120000003,4
1351.4605119999999,3196.389896,4
1373.041339,3204.606984,4
1379.568785,3203.108268,4
1397.661903,3253.514098,10
1429.752769,3174.518393,4
1461.619908,3238.986265,10
1482.362625,3277.2516149999997,9
1486.61868,3282.89459,9
1488.882218,3258.0279600000003,9
1313.34366,3136.680433,4
1336.9333179999999,3263.068667,9
1368.138951,3176.220743,4
1436.644106,3231.72573,4
1378.951092,3259.026066,9
1389.745749,3168.229225,4
1433.3449369999998,3205.7545760000003,4
1315.230894,3440.7139399999996,3
1320.0782,3323.974561,11
1324.527034,3331.395199,9
1331.909929,3354.827641,10
1344.016385,3319.533191,9
1340.298508,3421.61599,3
1355.793604,3371.935741,10
1373.917219,3437.767846,10
1377.035433,3489.101975,6
1379.301384,3416.9721159999995,10
1379.82091,3368.27687,10
1383.476505,3470.569083,10
1382.857234,3349.044172,10
1385.9947220000001,3336.588927,9
1390.632982,3452.9400549999996,10
1401.356186,3439.331293,10
1402.617716,3411.4340810000003,10
1409.533485,3358.08869,10
1421.642077,3334.256247,10
1423.003352,3364.438007,3
1425.562903,3420.3643159999997,10
1430.003303,3449.2195450000004,10
1434.626324,3357.500408,3
1439.804998,3347.3054399999996,10
1442.899162,3448.2093520000003,10
1454.633952,3463.23907,10
1459.8213230000001,3487.983893,10
1467.871489,3436.704389,10
1473.082101,3408.0713140000003,10
1480.496699,3435.461102,10
1486.480257,3380.159648,10
1490.983798,3343.608088,10
1494.411778,3438.032365,3
1347.9186869999999,3366.0500039999997,10
1367.2437619999998,3474.9770840000006,6
1371.233591,3370.3755,10
1398.395265,3325.89997,10
1421.469882,3401.882558,10
1416.7555960000002,3469.273644,10
1449.372504,3424.1401539999997,10
1463.36256,3408.416832,10
1361.435111,3428.177032,3
1440.274224,3493.46246,10
1454.298673,3336.701207,10
1474.006397,3444.1882570000002,10
1490.5370699999999,3391.638662,10
1377.609183,3450.7226579999997,10
1336.550154,3355.707418,9
1347.193018,3336.311916,10
1351.074645,3445.164187,9
1355.113267,3359.566592,10
1414.716773,3435.654284,10
1421.815657,3452.9238219999997,10
1437.996771,3324.287804,10
1443.321156,3319.819564,9
1473.788115,3416.258924,10
1476.50845,3352.900995,10
1323.411277,3675.015581,6
1328.458323,3651.23841,10
1331.755977,3674.3693299999995,10
1333.900239,3561.4892229999996,10
1336.968024,3597.932312,10
1348.617736,3585.6356100000003,10
1352.694878,3661.823131,10
1356.585349,3643.705498,10
1377.719317,3657.746853,10
1380.9455710000002,3610.971861,3
1384.418059,3682.5720850000002,10
1388.16075,3675.517614,10
1396.401922,3521.5630520000004,10
1400.3867710000002,3536.151046,10
1401.6809,3636.578287,10
1414.4689119999998,3615.287704,3
1410.9296880000002,3553.9621979999997,10
1411.918425,3638.346576,10
