"","x","y","c","z"
"232",1318.716998,2969.0735,3,6
"233",1320.340027,3035.383914,13,6
"234",1325.438486,3038.333504,13,6
"235",1333.75269,3086.364387,9,6
"236",1343.719035,2912.614545,2,0
"237",1350.034027,3037.36069,6,6
"238",1357.723959,2949.669416,13,6
"239",1361.446405,3051.90336,9,6
"240",1365.207462,3017.334151,2,6
"241",1377.418009,2971.615156,13,6
"242",1379.427469,2934.140655,10,6
"243",1381.894908,3027.415444,3,6
"244",1387.609486,3077.698054,9,6
"245",1389.229029,3065.170123,1,6
"246",1400.85108,2942.858463,0,6
"247",1401.71811,2977.614185,9,6
"248",1403.984666,3092.518991,13,6
"249",1413.388873,3070.743092,13,6
"250",1416.190842,3052.162108,13,6
"251",1417.220287,3009.01784,13,6
"252",1423.179544,2998.819012,5,2
"253",1433.309135,3002.845438,5,2
"254",1439.194388,3009.010568,0,2
"255",1438.669134,3060.568019,3,6
"256",1439.485112,2959.639383,0,6
"257",1437.22727,3091.806709,13,6
"258",1446.610519,3001.265719,5,2
"259",1449.82306,3086.677072,0,6
"260",1453.268426,2975.503269,13,6
"261",1454.778001,2942.597641,13,6
"262",1459.336582,3006.898878,5,2
"263",1457.321464,3050.089847,0,6
"264",1463.733712,2971.902401,9,6
"265",1464.671625,2918.374501,11,6
"266",1462.636894,3071.46683,13,6
"267",1464.494841,3055.174681,0,6
"268",1468.519947,3024.286086,9,6
"269",1471.347646,3021.652787,9,6
"270",1480.143869,2951.053052,13,6
"271",1479.4403,3050.051839,13,6
"272",1485.57344,3093.934686,13,6
"273",1489.081208,2969.667531,2,6
"274",1326.30177,2991.773351,3,6
"275",1341.030033,3027.657421,8,6
"276",1386.407316,2984.680557,3,6
"277",1478.419877,3004.981551,13,6
"278",1495.28813,3031.9252,3,6
"279",1342.035029,2981.870378,3,6
"280",1341.419678,2946.381329,11,0
"281",1363.605549,2965.926613,2,6
"282",1482.03553,2936.63094,0,6
"283",1322.87533,3046.820446,11,6
"284",1358.393097,3075.843604,13,6
"285",1415.168833,2972.314175,5,2
"286",1446.881023,3025.727287,3,2
"287",1315.840037,2989.468373,8,6
"288",1326.738731,2925.436798,3,0
"289",1345.284276,3047.468919,3,6
"290",1361.967,3004.567369,3,6
"291",1407.806185,3067.822198,13,6
"292",1447.703345,2928.612494,13,6
"293",1397.158747,3027.11149,13,6
"294",1403.695839,3003.758699,13,6
"295",1309.597336,3157.077371,3,6
"296",1319.558652,3158.10302,3,6
"297",1326.099995,3210.882112,13,6
"298",1326.159362,3177.04335,5,6
"299",1329.320423,3130.73488,13,6
"300",1328.913089,3223.90618,8,6
"301",1325.582562,3200.631337,13,6
"302",1342.248896,3232.422648,0,6
"303",1344.810349,3242.729699,2,6
"304",1347.797394,3156.68494,13,6
"305",1359.548199,3198.899616,13,6
"306",1358.048039,3252.980948,3,6
"307",1358.787967,3207.863076,11,6
"308",1358.600111,3282.171039,9,6
"309",1357.385557,3166.960311,13,6
"310",1361.295777,3240.857065,3,6
"311",1363.047202,3276.402194,0,6
"312",1381.126738,3266.582041,13,6
"313",1380.511754,3170.006175,13,6
"314",1382.898069,3192.907942,5,2
"315",1387.594334,3149.213021,3,6
"316",1391.756381,3294.935952,13,6
"317",1397.093725,3202.567945,3,6
"318",1397.833287,3120.204302,9,6
"319",1404.543458,3156.198883,13,6
"320",1409.316584,3222.863387,14,1
"321",1409.623733,3177.998976,9,6
"322",1419.248027,3117.881033,8,6
"323",1428.638071,3114.309885,6,6
"324",1429.31092,3192.158709,3,6
"325",1436.404411,3270.650181,4,1
"326",1439.370943,3219.438664,2,6
"327",1442.098194,3291.121742,8,1
"328",1444.54767,3134.473866,13,6
"329",1449.104008,3220.282609,10,6
"330",1449.683059,3270.74273,6,1
"331",1453.678233,3235.50246,6,1
"332",1456.573498,3268.87351,6,1
"333",1453.684698,3167.596975,3,6
"334",1458.468782,3134.592419,3,6
"335",1462.844416,3264.780588,6,1
"336",1480.302428,3261.012073,6,1
"337",1491.765675,3233.032812,13,6
"338",1356.313821,3267.723671,10,6
"339",1371.023031,3297.826317,4,6
"340",1418.0883,3254.631809,4,1
"341",1449.379083,3288.524955,0,1
"342",1467.958949,3158.727912,13,6
"343",1351.460512,3196.389896,13,6
"344",1373.041339,3204.606984,2,6
"345",1379.568785,3203.108268,5,2
"346",1397.661903,3253.514098,6,6
"347",1429.752769,3174.518393,11,6
"348",1461.619908,3238.986265,0,1
"349",1482.362625,3277.251615,0,1
"350",1486.61868,3282.89459,10,1
"351",1488.882218,3258.02796,0,1
"352",1313.34366,3136.680433,13,6
"353",1336.933318,3263.068667,8,6
"354",1368.138951,3176.220743,6,6
"355",1436.644106,3231.72573,2,6
"356",1378.951092,3259.026066,13,6
"357",1389.745749,3168.229225,3,6
"358",1433.344937,3205.754576,13,6
"359",1315.230894,3440.71394,6,1
"360",1320.0782,3323.974561,10,1
"361",1324.527034,3331.395199,4,1
"362",1331.909929,3354.827641,6,1
"363",1344.016385,3319.533191,9,1
"364",1340.298508,3421.61599,3,1
"365",1355.793604,3371.935741,6,1
"366",1373.917219,3437.767846,0,1
"367",1377.035433,3489.101975,6,1
"368",1379.301384,3416.972116,6,1
"369",1379.82091,3368.27687,3,1
"370",1383.476505,3470.569083,6,1
"371",1382.857234,3349.044172,6,1
"372",1385.994722,3336.588927,0,1
"373",1390.632982,3452.940055,6,1
"374",1401.356186,3439.331293,2,1
"375",1402.617716,3411.434081,8,1
"376",1409.533485,3358.08869,2,1
"377",1421.642077,3334.256247,6,1
"378",1423.003352,3364.438007,6,1
"379",1425.562903,3420.364316,6,1
"380",1430.003303,3449.219545,0,1
"381",1434.626324,3357.500408,6,1
"382",1439.804998,3347.30544,4,1
"383",1442.899162,3448.209352,6,1
"384",1454.633952,3463.23907,6,1
