"","x","y","c","z"
"106",4590.37209302326,3455.77906976744,0,0
"107",4704.05,1761.47857142857,1,1
"108",5481.14876033058,3826.80165289256,1,1
"109",1538.42592592593,1374.97222222222,1,1
"110",3729.9756097561,2574.64634146341,0,0
"111",3873.98611111111,3678.30555555556,0,0
"112",3249.04545454545,814.409090909091,0,3
"113",2701.63503649635,1405.53284671533,0,2
"114",1893.2,3885.75714285714,0,0
"115",3716.91194968553,1601.47798742138,1,1
"116",4200.22751322751,4333.68253968254,0,0
"117",3208.53571428571,1057.58928571429,0,3
"118",5092.49367088608,4320.75949367089,1,1
"119",4010.07614213198,3853.33502538071,0,0
"120",5764.54385964912,1711.59649122807,1,1
"121",4490.90196078431,4467.95424836601,1,1
"122",1771.5652173913,1640.40217391304,1,1
"123",4925.85714285714,3131.86956521739,0,0
"124",1867.31343283582,2183.91044776119,0,2
"125",2979.67942583732,2620.94736842105,0,2
"126",2754.7731092437,573.09243697479,1,1
"127",2720.18253968254,3201.57936507937,1,1
"128",2158.4,1415.90833333333,0,0
"129",3594.72189349112,4000.52071005917,0,0
"130",4065.89,4071.76,0,0
"131",2698.80597014925,3330.20895522388,0,3
"132",2772.58636363636,2094.96818181818,1,1
"133",4682.20652173913,728.652173913044,1,1
"134",3638.58219178082,2080.45205479452,0,3
"135",5274.62721893491,3540.72189349112,1,1
"136",3123.39548022599,1486.78531073446,0,3
"137",3321.5625,3283.89583333333,0,0
"138",4711.62162162162,1470.94594594595,1,1
"139",4154,1653.9693877551,1,1
"140",3062.81196581197,1715.92307692308,1,1
"141",4524.62295081967,2991.08743169399,0,0
"142",4911.64912280702,1638.31578947368,0,0
"143",3400.73762376238,2593.55940594059,0,0
"144",2141.59393939394,3962.35757575758,0,0
"145",5353.7027027027,2009.22072072072,1,1
"146",3239.44642857143,4152.42857142857,0,0
"147",1997.40930232558,2470.02325581395,1,1
"148",4464.4025974026,3111.13852813853,0,0
"149",4076.96774193548,1363.14838709677,1,1
"150",3644.37096774194,413.411290322581,0,3
"151",2305.16666666667,1812.57407407407,0,1
"152",5169.31097560976,1117.80487804878,1,1
"153",2338.07741935484,2930.73548387097,1,1
"154",5290.18181818182,3067.04195804196,0,0
"155",4317.77272727273,1319.17613636364,1,1
"156",2172.5,2475.125,1,1
"157",4600.29473684211,850.515789473684,1,1
"158",1679.94,2883.89,1,1
"159",2930.7,1788.25882352941,1,1
"160",4055.16517857143,2270.51339285714,0,2
