X,Y,mclust
3863.22807017544,2905.9649122807,2
1972.44886363636,3906.03977272727,2
3716.71111111111,2189.02962962963,2
4135.30827067669,3647.12781954887,2
2495.77551020408,3229.88775510204,2
5522.87719298246,3975.47368421053,1
3039.24539877301,3741.29447852761,2
1600.98181818182,1762.12727272727,2
3284.83050847458,2426.70056497175,2
4044.655,3946.33,1
5244.31730769231,1068.98076923077,2
5597.0,3611.30201342282,1
2187.1198156682,1195.13824884793,2
5793.90604026846,2492.29530201342,4
1849.6511627907,1254.01550387597,1
2403.16981132075,1579.33333333333,2
5368.86614173228,3312.00787401575,2
4288.75,2385.4358974359,2
3741.75806451613,3995.01612903226,2
3250.3,4499.58125,2
2923.18348623853,3849.28440366972,2
5230.44871794872,3904.0,2
2418.95035460993,887.198581560284,2
2124.9619047619,2496.55238095238,2
3848.07407407407,3977.80555555556,2
2510.43137254902,4031.48039215686,2
4714.27567567568,3993.42162162162,2
1931.83076923077,2264.87692307692,2
2040.18285714286,3683.68571428571,1
4288.82926829268,2079.70731707317,2
4840.80341880342,3693.57264957265,2
3712.09523809524,2104.35714285714,2
2858.0985915493,3960.07042253521,2
3942.32236842105,3838.39473684211,2
5489.00546448087,3236.27322404372,2
5226.91549295775,4500.36150234742,4
5690.94827586207,3366.99137931034,1
5211.16393442623,1860.95081967213,2
5214.98473282443,1523.25190839695,1
5308.85039370079,2960.1968503937,1
5572.6996996997,2632.39039039039,4
5641.85483870968,3416.41935483871,1
3895.0701754386,4219.56140350877,2
1887.6091954023,1337.73563218391,2
2279.87301587302,2262.80158730159,2
4389.37158469945,3505.91803278689,2
2886.14864864865,2772.54054054054,2
3877.22834645669,1396.92125984252,2
2069.75,4300.04054054054,4
5378.59685863874,3677.6335078534,2
2124.01829268293,3272.80487804878,2
2769.14201183432,4556.60355029586,3
4043.04945054945,2188.84615384615,2
3093.78217821782,2924.70297029703,2
4930.60759493671,2847.60126582278,2
5666.736,2985.808,4
5313.28571428571,4105.97619047619,2
2090.76381909548,1865.26130653266,2
5474.79333333333,1299.2,2
3766.08444444444,4241.35111111111,2
5665.95857988166,2239.73372781065,2
2480.44525547445,1255.91240875912,2
2812.45517241379,3232.71724137931,2
2146.85875706215,1225.28813559322,2
4824.01526717557,2761.15267175573,2
1988.20238095238,2201.42063492063,2
4285.49411764706,1173.47058823529,2
3602.03846153846,2998.24786324786,2
3237.42424242424,683.818181818182,1
4283.42631578947,4212.33157894737,1
2003.8125,3739.9140625,2
3535.93181818182,2447.84090909091,2
2552.45535714286,3090.55357142857,2
4431.89108910891,2786.43564356436,2
2991.3137254902,4546.0931372549,1
3771.75,3421.15,2
3056.76126126126,3899.57207207207,2
3928.65909090909,2014.14772727273,2
2233.93430656934,1814.89051094891,2
2596.94117647059,703.260504201681,2
1506.18018018018,3210.58558558559,2
1954.88780487805,2529.6487804878,2
4449.44247787611,1558.92920353982,2
5885.24324324324,2500.87837837838,2
3198.83435582822,3513.30061349693,2
3211.54358974359,4396.4,1
2048.42727272727,3519.71818181818,3
2352.49122807018,3789.56140350877,1
5279.29569892473,2821.63440860215,4
5509.49222797927,4323.50259067358,1
4791.08474576271,2855.1186440678,2
3645.71134020619,537.360824742268,2
4097.80373831776,1339.56074766355,2
4300.39784946237,2966.83333333333,2
4831.08974358974,585.410256410256,2
4191.71521035599,4234.37540453074,1
1982.06701030928,2436.65979381443,2
5456.39552238806,2924.50746268657,4
2741.27586206897,2425.18390804598,2
1710.8046875,1389.3359375,2
4381.46496815287,712.28025477707,1
4901.8904109589,1136.61643835616,2
4865.66233766234,2923.08441558442,4
2243.84974093264,3986.58031088083,2
4545.92553191489,3704.34397163121,2
4960.50769230769,1730.96153846154,1
3035.57142857143,3009.48571428571,2
4373.22388059701,918.850746268657,1
3617.203125,1936.1640625,2
2366.29133858268,964.866141732284,2
3394.8813559322,4253.15254237288,1
5236.09090909091,1581.38961038961,1
2442.49740932643,4299.04663212435,1
2182.53333333333,4250.14444444444,2
5010.45378151261,815.588235294118,2
5353.64028776978,3993.4964028777,2
2224.49315068493,918.986301369863,2
2763.68789808917,4004.5923566879,2
2128.01149425287,4223.12643678161,1
4851.41071428571,3192.36607142857,2
5835.80597014925,3313.61194029851,2
2745.01923076923,1607.25,2
5207.66438356164,3620.06849315068,2
4868.72602739726,2509.49315068493,2
4834.30588235294,2935.18823529412,4
3684.06106870229,1233.68320610687,3
2529.26553672316,632.062146892655,2
5448.45945945946,4260.74054054054,1
2875.07848837209,2577.48837209302,2
4064.23880597015,2427.15671641791,2
2985.704,882.576,2
5053.12359550562,2377.58426966292,2
4306.0720338983,2149.25,2
5462.19696969697,2790.30303030303,2
3804.03333333333,2161.26666666667,2
1860.48701298701,3952.73376623377,1
4094.94736842105,1129.48421052632,2
4813.21186440678,1250.65254237288,2
3769.00341296928,2128.95563139932,2
2568.41666666667,1678.3,2
5420.39230769231,2326.69230769231,2
2269.62962962963,3427.0113960114,3
1936.97549019608,4064.20098039216,1
1580.95918367347,1950.83673469388,2
3930.31325301205,1367.63855421687,2
2704.55454545455,2780.22727272727,2
1747.86021505376,1233.83870967742,1
3818.8,972.915384615385,1
5715.2,3840.94545454545,2
4035.35632183908,482.218390804598,2
2944.66666666667,522.31746031746,2
5438.70149253731,4171.64552238806,2
2198.68333333333,2861.01666666667,2
