mclust,x,y
1,3905.4263565891497,2147.42635658915
4,4653.6476190476205,2370.28571428571
1,1705.8585365853698,1358.1756097561
3,2463.59090909091,2792.11038961039
3,5053.83233532934,881.449101796407
2,2315.1956521739103,3341.8130434782597
2,3800.2298850574703,1929.16091954023
1,4153.8679245283,957.61320754717
1,3451.0,3617.45257452575
1,4381.528455284551,601.6341463414631
2,2626.1044776119397,3101.7402985074605
1,2292.43636363636,4073.11818181818
3,1637.85454545455,1836.32727272727
3,2500.98630136986,2810.79452054795
4,4798.61146496815,3916.3057324840797
4,2558.87356321839,3925.3908045977
1,2480.2028301886803,1038.23113207547
1,5655.53488372093,2079.39534883721
1,2491.83870967742,1265.85483870968
1,3034.72142857143,818.714285714286
1,2019.54838709677,2585.3010752688197
4,3055.93906810036,4050.38709677419
3,5800.3358778626,1945.3053435114498
2,4534.03418803419,407.931623931624
1,1885.7142857142899,4141.616071428571
3,3804.5,1298.57692307692
1,2270.05263157895,2472.07518796992
2,1721.7657657657699,2010.6576576576601
1,5426.74264705882,1946.3088235294101
1,3458.93023255814,1074.8488372093
2,4712.47972972973,1433.9189189189199
3,4305.8829787234,1229.54787234043
4,5144.6375,2794.7875
1,2999.3219178082204,4459.0136986301395
4,4037.4210526315796,2885.8578947368396
1,4895.489130434779,1924.64130434783
4,3560.2,3005.51304347826
4,4053.94814814815,3166.1703703703697
4,4314.71856287425,3425.3532934131704
1,5518.526315789471,3185.2456140350896
1,4528.92125984252,4267.07480314961
1,3093.02941176471,1469.0147058823497
4,2808.03007518797,3894.5075187969896
1,4383.04142011834,3764.7692307692296
4,5194.04807692308,2801.7788461538503
1,2966.53953488372,760.5627906976739
1,3421.9710144927503,2066.7246376811604
3,2894.54545454545,2909.79090909091
2,5520.54166666667,3360.15625
1,2774.3373493975896,1147.25301204819
4,4922.46385542169,1905.03012048193
1,4721.13669064748,1964.1366906474802
3,1948.29523809524,2865.54285714286
4,3930.3809523809496,2921.42328042328
1,3121.40963855422,2364.00602409639
1,5654.02521008403,2369.73109243697
1,4828.681318681321,1403.21978021978
1,3437.27,524.58
2,2860.14166666667,738.166666666667
3,2918.59310344828,1701.6
4,3304.7411764705894,3478.08235294118
1,3169.5069124424,4563.64976958525
